GAIA_ID	field	flag_old	flag_new	T_depth [%]	radius_gspp	phot_g_mea	teff_gspphot	teff_gspphot	teff_gspphot	teff_gspphot	logg_gspphot	radius_gspp	radius_gspp	n_events	flags	n_transits	GS_01	GS_0_U	GS_23	dates	sc	gs															
423026756506669952	Sp0011+5908	transit	transit, long period, check TESS	1		12.42094231				0				2	extendedsource \\ moving	
1085034465548700800	Sp0804+6153	transit	transit, check TESS	5	0.258700013	18.71362495	3339.805908	3324.64624	3358.701904	17.02783203	4.610899925	0.26879999	0.281800002		3	3	1	0	20191213 \\ 	27.6 \\ 16.1 \	0 \\ 1 \\ 0	
5595785866305529216	Sp0805-3158	SPEC target tra	transit review later			17.44519234				0					20	20	0	0	20180124 \\ 	0.0 \\ 0.0 \\ 0.	0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
5723739672264914176	Sp0828-1309	SPEC target tra	transit review later			17.58193398				0					19	9	4	10	20180115 \\ 	22.4 \\ 19.7 \	0 \\ 3 \\ 1 \\ 0 \\ 0 \\ 2 \\ 3 \\ 3 \\ 1 \\ 2 \\ 1 \\ 3 \\ 3 \\ 2 \\ 2 \\ 0 \\ 1 \\ 2 \\ 0	
703779392734147584	Sp0829+2646	transit	transit, check TESS	6	0.384000003	17.56759262	3486.807861	3467.836426	3525.947021	29.05529785	4.697000027	0.397399992	0.411900014		1	1	1	0	20171228	25.3	0	
703978507417193344	Sp0829+2646	transit	transit, check TESS	1.5		14.39874077				0					5	3	0	2	20190225 \\ 	19.4 \\ 21.8 \	1 \\ 3 \\ 1 \\ 1 \\ 2	
599891555546067200	Sp0830+0947	SPEC target tra	transit review later			14.22036266				0					44	42	0	2	20210214 \\ 	14.0 \\ 10.9 \	3 \\ 3 \\ 1 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
5321049521489667328	Sp0833-5336	SPEC target tra	transit review later			16.10829926				0					31	31	1	0	20190109 \\ 	14.8 \\ 20.0 \	1 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
5661194163772723072	Sp0936-2609	SPEC target tra	transit review later			16.55488777				0					58	51	0	7	20191226 \\ 	17.1 \\ 13.5 \	0 \\ 2 \\ 2 \\ 2 \\ 1 \\ 3 \\ 1 \\ 2 \\ 1 \\ 2 \\ 3 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0
740931340878555904	Sp1016+2751	SPEC target tra	transit review later			16.11068726				0					27	25	0	2	20220306 \\ 	14.4 \\ 11.8 \	1 \\ 2 \\ 0 \\ 1 \\ 3 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0 \\ 0	
5471345889049823744	Sp1042-2416	SPEC target tra	transit review later			14.06974411				0					9	5	2	4	20181210 \\ 	54.9 \\ 17.6 \	0 \\ 2 \\ 2 \\ 0 \\ 2 \\ 0 \\ 0 \\ 1 \\ 2	
